Id,Label,timeset,d1,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,eigencentrality
Santander Universidades,Santander Universidades,,5.6,Habilitador,5,9,14,22,21,43,6,0.343949,0.416667,685.240718,7,0.072727,0.494003
Bimbo,Bimbo,,1.8,Habilitador,3,0,3,9,0,9,0,0,0,0,2,0,0.295388
SDSN México,SDSN México,,1.8,Vinculador,3,2,5,7,8,15,1,1,1,93.147619,5,0.083333,0.186101
Mexico Ventures,Mexico Ventures,,1.4,Habilitador,2,0,2,7,0,7,0,0,0,0,3,0,0.081381
Hult Prize,Hult Prize,,1.2,Habilitador,1,1,2,3,3,6,7,0.261501,0.293783,46.690024,1,0,0.021983
AcelerA,AcelerA,,0.6,Habilitador,0,2,2,0,10,10,7,0.228992,0.255636,0,4,0,0
Dalus,Dalus,,0.4,Habilitador,1,2,3,1,2,3,8,0.24714,0.280346,42.430556,4,0.166667,0.03399
Ronin PR Mexico,Ronin PR Mexico,,0.6,Habilitador,1,8,9,1,29,30,7,0.277635,0.337897,323.641667,0,0.013889,0.126599
Universidad La Salle,Universidad La Salle,,0.6,Habilitador,5,12,17,17,45,62,6,0.347267,0.430556,1040.651565,1,0.045833,0.417516
New Ventures,New Ventures,,4.6,Habilitador,3,0,3,15,0,15,0,0,0,0,3,0,0.066436
IODEMC,IODEMC,,1.4,Articulador,3,0,3,8,0,8,0,0,0,0,6,0.5,0.559697
Fundación Televisa,Fundación Televisa,,2.6,Habilitador,2,0,2,8,0,8,0,0,0,0,0,0.5,0.126686
SVX,SVX,,0.6,Habilitador,0,12,12,0,40,40,5,0.337349,0.413542,0,6,0,0
FLDM,FLDM,,0.8,Habilitador,2,0,2,5,0,5,0,0,0,0,4,0.5,0.142158
Angel Ventures,Angel Ventures,,3,Habilitador,5,7,12,17,28,45,7,0.254118,0.311817,773.032143,3,0.030303,0.218629
WeWork,WeWork,,3,Habilitador,3,0,3,10,0,10,0,0,0,0,1,0,0.172989
Makesense,Makesense,,1.2,Habilitador,3,0,3,7,0,7,0,0,0,0,5,0.333333,0.095429
UAM,UAM,,2,Generador de conocimiento,5,8,13,11,33,44,6,0.320475,0.387654,594.280261,7,0.113636,0.479997
U. Anáhuac,U. Anáhuac,,5,Habilitador,5,3,8,18,14,32,6,0.291105,0.331636,530.565152,7,0.142857,0.256467
UP,UP,,0.6,Habilitador,1,9,10,4,33,37,6,0.305949,0.374537,249.961147,6,0.055556,0.18365
MIA,MIA,,1.2,Habilitador,2,0,2,6,0,6,0,0,0,0,1,0,0.07335
Santander,Santander,,11.6,Habilitador,8,4,12,36,19,55,7,0.273418,0.327668,617.62132,7,0.072727,0.616282
Adobe Capital,Adobe Capital,,1.4,Habilitador,1,4,5,4,14,18,1,1,1,4,3,0,0.003063
FOMIN,FOMIN,,1.6,Habilitador,2,0,2,8,0,8,0,0,0,0,4,0,0.021197
Startup Grind,Startup Grind,,2,Comunidad,1,2,3,3,9,12,7,0.216,0.248567,51.137302,3,0.166667,0.021983
